         437420278 function calls (437414804 primitive calls) in 151.708 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.033    0.033 C:\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:106(_save)
        1    0.000    0.000    0.033    0.033 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\workbook\workbook.py:373(save)
        1    0.000    0.000    0.033    0.033 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\writer\excel.py:279(save_workbook)
        1    0.000    0.000    0.033    0.033 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\writer\excel.py:273(save)
        1    0.000    0.000    0.033    0.033 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\writer\excel.py:53(write_data)
    15155    0.029    0.000    0.030    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:105(_estimate_error)
        1    0.000    0.000    0.030    0.030 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\packaging\manifest.py:1(<module>)
      100    0.001    0.000    0.029    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:85(__init__)
      2/1    0.000    0.000    0.029    0.029 C:\Python313\Lib\mimetypes.py:72(__init__)
        1    0.000    0.000    0.029    0.029 C:\Python313\Lib\mimetypes.py:387(init)
        1    0.000    0.000    0.028    0.028 C:\Python313\Lib\mimetypes.py:252(read_windows_registry)
        1    0.028    0.028    0.028    0.028 {built-in method _winapi._mimetypes_read_windows_registry}
      200    0.017    0.000    0.028    0.000 C:\Python313\Lib\site-packages\numpy\_core\shape_base.py:295(hstack)
      191    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.027    0.027 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chart\area_chart.py:1(<module>)
        1    0.000    0.000    0.027    0.027 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:1576(parse)
        1    0.000    0.000    0.027    0.027 C:\Python313\Lib\site-packages\pandas\io\excel\_base.py:719(parse)
